Choice situation,Block,alt1.chemical_alt,alt1.training_alt,alt1.support_alt,alt1.cost_alt,alt2.chemical_alt,alt2.training_alt,alt2.support_alt,alt2.cost_alt
1,1,1,2,1,84,2,3,3,56
2,1,2,3,3,56,3,2,2,56
3,1,3,2,1,113,1,1,3,22
4,1,2,2,2,84,1,3,1,56
5,1,1,2,2,11,2,1,1,11
6,1,3,2,3,22,2,1,2,113
7,1,3,3,2,56,2,2,1,84
8,1,1,1,2,56,3,3,3,22
9,2,1,3,1,113,2,2,3,11
10,2,2,3,3,113,3,1,1,11
11,2,2,3,1,11,3,1,3,113
12,2,1,1,3,11,3,3,2,113
13,2,3,1,2,22,1,2,1,84
14,2,3,3,1,22,1,2,3,84
15,2,3,1,3,113,2,3,2,11
16,2,2,1,1,84,1,3,2,22
