RecordedDate,Qualtrics.RID,Consent,Baseline_Fert.kg,Baseline_Herbicide,Choice.Task_1,Choice.Task_2,Choice.Task_3,Choice.Task_4,Choice.Task_5,Choice.Task_6,Choice.Task_7,Choice.Task_8,Choice.Task_9,Choice.Task_10,Choice.Task_11,Choice.Task_12,Choice.Task_13,Choice.Task_14,Choice.Task_15,Choice.Task_16,Demo_Age,Demo_Gender,Demo_Education,Demo_Education.Text,Farm_Land.Size,Farm_Tenure,Farm_Tenure.Text
2026-06-23 11:57:13,R_b2BblG7QbaSwaQ6,1,,,,,,,,,,,1,1,1,3,3,3,1,3,"Magna augue vivamus! Suscipit. Aenean fermentum est? Faucibus, natoque iaculis phasellus arcu, tortor vulputate.",2,7,Magna orci nullam viverra ultrices morbi commodo praesent porttitor purus sagittis lectus molestie.,,3,
2026-06-23 11:57:14,R_5gywO2KJT4r8p8y,1,,,5,1,3,2,1,3,3,3,,,,,,,,,Malesuada ante? Non tortor cursus ridiculus elit montes. Eros egestas aenean.,3,5,,,2,
2026-06-23 11:57:15,R_1Xs52OlD6EBpuaW,1,,,3,1,2,1,2,3,1,2,,,,,,,,,Cursus! Pharetra egestas arcu fermentum? Faucibus magnis massa. Vestibulum nunc.,3,1,,,1,
2026-06-23 11:57:16,R_1N6KOFeEBGI86cC,1,,,,,,,,,,,2,2,3,3,3,1,1,1,Elit fringilla. Tempora dolorem sem per dictumst faucibus sit gravida proin posuere.,3,3,,,2,
2026-06-23 11:57:17,R_cC6h6nbQuoXKyCG,1,,,,,,,,,,,1,2,2,1,2,2,1,3,Lectus tempor? Erat imperdiet integer odio aliquam orci est vivamus duis integer.,2,2,,,3,
2026-06-23 11:57:17,R_8wf9jIYqXeQ1FnU,1,,,2,3,3,1,1,3,1,1,,,,,,,,,Tempus magna! Eu risus! Ab culpa viverra ullamcorper velit potenti ultricies.,3,1,,,4,"Curabitur tempus nullam mauris et. Primis porta volutpat wisi, tempus bibendum aliquet enim."
2026-06-23 11:57:17,R_0BsWyALfi4jjFZA,1,,,,,,,,,,,3,3,1,3,2,1,1,1,Aenean nonummy nunc venenatis mattis. Per facilisis nonummy vitae purus erat platea.,1,2,,,1,
2026-06-23 11:57:18,R_9AAcbBFCDvFZyLQ,1,,,,,,,,,,,2,3,2,3,3,2,1,1,"Aliquet fringilla? Aliquam, sodales auctor wisi augue erat molestie in fermentum. Sagittis aliquet! Aliquam ligula.",2,4,,,3,
2026-06-23 11:57:19,R_6VAOqXP2E8OYzfU,1,,,5,1,1,1,3,2,1,1,,,,,,,,,Elementum per scelerisque urna. Pretium. Nulla vestibulum egestas a eros vehicula. Primis.,1,7,Bibendum aliquam justo per vitae faucibus! Molestie! Vulputate. Felis quam dolor dictumst! Sodales dolorem.,,2,
2026-06-23 11:57:19,R_9XCJ8TMZiLY50J8,1,,,,,,,,,,,1,2,2,3,2,1,2,3,"Quis iaculis volutpat, dolorem nec dolorem dolorem lorem dolorem purus.",2,1,,,4,Magnis scelerisque porta. Culpa volutpat convallis. Nulla tortor velit? Nonummy proin sed consequat.
2026-06-23 11:57:19,R_9z69OnFhu1oParI,1,,,,,,,,,,,1,2,3,2,1,2,3,3,"Dui egestas rutrum praesent facilisi a platea ut, donec tempora.",2,6,,,3,
2026-06-23 11:57:20,R_bjUDNiDyOqU638q,1,,,2,1,3,1,1,1,3,2,,,,,,,,,Enim! Eleifend mi! Iaculis quam tellus turpis culpa vestibulum scelerisque! Culpa. Enim rutrum.,2,6,,,4,"Eu. Facilisi dui convallis auctor duis, luctus, duis wisi magnis felis potenti pretium."
2026-06-23 11:57:23,R_bkdI00EBSnvN54i,1,,,2,1,3,3,2,3,1,3,,,,,,,,,"Vehicula turpis? Ultrices porta, orci! Accusamus facilisis vehicula in nonummy mi! Amet.",2,4,,,4,Pharetra ut tempor elementum rhoncus. Ligula. Dolor velit eget est.
