Qualtrics.RID,Block,Choice.Task,Alternative,Chosen.Alternative,Choice.Binary,chemical,training,support,cost,Demo_Age,Demo_Gender,Demo_Education,Demo_Education.Text,Farm_Land.Size,Farm_Tenure,Farm_Tenure.Text,Baseline_Fert.kg,Baseline_Herbicide,RecordedDate,Consent
R_0057EC8Tfuoc7wG,1,1,1,2,0,1,2,1,84,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,1,2,2,1,2,3,3,56,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,1,3,2,0,0,0,0,0,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,2,1,1,1,2,3,3,56,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,2,2,1,0,3,2,2,56,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,2,3,1,0,0,0,0,0,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,3,1,2,0,3,2,1,113,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,3,2,2,1,1,1,3,22,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,3,3,2,0,0,0,0,0,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,4,1,2,0,2,2,2,84,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,4,2,2,1,1,3,1,56,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,4,3,2,0,0,0,0,0,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,5,1,1,1,1,2,2,11,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,5,2,1,0,2,1,1,11,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,5,3,1,0,0,0,0,0,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
R_0057EC8Tfuoc7wG,1,6,1,2,0,3,2,3,22,NA,3,4,NA,6,1,NA,NA,NA,2026-07-30T22:53:55Z,1
